Style,Standard,,,,,,,,,,,,,,,,,,,,,,,
Append Mode,1,,,,,,,,,,,,,,,,,,,,,,,
Fill Mode,0,,,,,,,,,,,,,,,,,,,,,,,
Capacity,30000,,,,,,,,,,,,,,,,,,,,,,,
Count,11260,,,,,,,,,,,,,,,,,,,,,,,
Base Time Seconds,1709740595,,,,,,,,,,,,,,,,,,,,,,,
Base Time Fractional,0.438305,,,,,,,,,,,,,,,,,,,,,,,
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds,
31,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438335,37.8763134
32,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438336,-56.8144697
33,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-2.78758E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438337,56.8144697
34,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438338,18.9381535
35,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438339,-18.9381535
36,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.43834,-37.8763134
37,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438341,37.8763134
38,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438342,-75.752625
39,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-4.68139E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438343,56.8144678
40,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438344,0
41,-0.001183876,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438345,18.9381572
42,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438346,-37.8763134
43,-0.001183876,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438347,75.7526277
44,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,6.6815E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438348,-94.690784
45,0.000670553,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-2.78758E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438349,18.9381563
46,0.000670553,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.43835,-56.8144688
47,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-6.57521E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438351,75.752625
48,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438352,-56.8144678
49,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-4.68139E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438353,37.8763116
50,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438354,-37.8763116
51,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-4.68139E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438355,56.8144678
52,-0.000256661,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438356,0
53,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438357,-18.9381562
54,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438358,18.9381562
55,0.000670553,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438359,0
56,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.43836,0
57,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438361,37.8763107
58,-0.001183876,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438362,-37.8763107
59,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438363,-18.9381562
60,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438364,37.8763134
61,-0.004892735,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438365,18.9381535
62,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,4.78768E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438366,-75.7526232
63,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-2.78758E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438367,56.8144697
64,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438368,37.8763143
65,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,6.6815E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438369,-37.8763143
66,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.43837,-18.9381572
67,-0.002111091,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438371,-18.9381562
68,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,-8.93763E-06,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438372,18.9381562
69,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438373,0
70,-0.00396552,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,1.00005E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438374,18.9381572
71,-0.003038306,Volt DC,100,4.5,F,F,F,F,F,F,Front,F,Digitizer,2.89387E-05,Amp DC,1,F,4W,F,F,3/6/2024,15:56:35,0.438375,-18.9381572
