1.000000,30.726654,26.800000,393.000000,993.000000,9239.000000
2.000000,30.637449,30.400000,392.000000,1021.000000,9233.000000
3.000000,30.549254,34.000000,393.000000,1368.000000,9080.000000
4.000000,30.506966,36.000000,396.000000,807.000000,9555.000000
5.000000,30.465737,37.800000,398.000000,826.000000,9399.000000
6.000000,30.397173,40.600000,392.000000,1426.000000,9307.000000
7.000000,30.292249,45.700000,393.000000,820.000000,9402.000000
8.000000,30.105520,54.700000,393.000000,958.000000,9702.000000
10.000000,29.894144,65.500000,393.000000,981.000000,10056.000000
11.000000,29.852841,67.800000,398.000000,1122.000000,9334.000000
12.000000,29.829772,69.000000,393.000000,1273.000000,9217.000000
14.000000,29.773541,72.200000,400.000000,1107.000000,9585.000000
16.000000,29.593417,82.200000,394.000000,1150.000000,9320.000000
17.000000,29.510106,87.100000,399.000000,792.000000,9677.000000
19.000000,29.291489,100.200000,396.000000,959.000000,9187.000000
20.000000,29.186817,106.800000,395.000000,839.000000,9567.000000
21.000000,29.122641,111.000000,400.000000,961.000000,9325.000000
22.000000,29.064093,115.100000,395.000000,851.000000,9607.000000
23.000000,29.037492,116.800000,396.000000,1169.000000,9440.000000
